name,value
中文名,6527
外文名,3810
别名,441
拼音,326
国籍,318
本名,229
作者,175
类型,120
书名,116
作品名称,82
性质,77
定义,77
字,70
拉丁学名,68
职业,60
所处时代,59
公司名称,53
中文学名,52
类别,50
行政区类别,42
原版名称,41
成立时间,39
含义,39
释义,36
出生日期,35
所属专辑,35
地理位置,34
民族,34
解释,31
属性,29
分类,28
出处,25
就诊科室,23
读音,22
创作年代,21
简称,20
名称,20
创办时间,19
出版社,18
出生地,16
词性,14
语种,14
饰演,14
全称,14
发生时间,14
作品别名,14
界,12
注音,12
目的,12
对象,12
所属地区,12
实质,11
登场作品,11
朝代,10
本质,10
概述,10
制片地区,9
地点,9
性别,9
软件名称,9
赤经,9
简介,9
所属学科,9
导演,8
作用,8
地区,8
总部地点,8
国家/地区,8
软件平台,8
歌曲原唱,7
又称,7
包括,7
游戏类型,7
举办时间,7
用途,7
提出者,7
出自,7
位置,6
特点,6
概念,6
所属行业,6
意义,6
药品名称,6
起源,5
赤纬,5
二名法,5
歌曲时长,5
行政区划代码,5
译者,5
地位,5
专辑语言,5
出品公司,5
发布单位,5
来源,5
登记机关,5
出品时间,5
公司类型,5
时期,5
配音,5
逝世日期,5
功能,4
适用领域,4
目标,4
时代,4
形式,4
根据,4
对应,4
毕业院校,4
星座,4
方法,4
地址,4
基本解释,4
产品类型,4
特征,4
设立时间,4
籍贯,4
经营范围,4
ISBN,4
构成,4
意思,4
人物,3
创立时间,3
民族族群,3
运动项目,3
领域,3
位于,3
成立,3
号,3
专业代码,3
成立于,3
内容,3
主体,3
常见发病部位,3
通过时间,3
组成,3
时间,3
范围,3
所属领域,3
方式,3
过程,3
学科,3
所属洲,3
发行公司,3
主管部门,3
办公地址,3
基础,3
所属联赛,3
所属,2
医生姓名,2
所属国家,2
医院等级,2
基本特征,2
来源出处,2
药品类型,2
召开时间,2
前身,2
专辑歌手,2
中文名：,2
指,2
类属,2
创刊时间,2
占地面积,2
应用学科,2
年代,2
模式,2
英文,2
年龄,2
 所属学科,2
理论,2
词目,2
卷数,2
利用,2
依据,2
应用,2
作者：,2
作曲家,2
修业年限,2
主办单位,2
农历,2
发音,2
发行时间,2
主要职责,2
亦称,2
总面积,2
